Ch1 Amplitude,Ch2 Amplitude,Cluster
1502.69849,1405.24963,1
1502.80933,1390.52136,1
1502.83374,1523.65015,1
1502.86536,1542.81042,1
1502.87122,1507.36157,1
1503.18713,1322.72083,1
1503.93018,1369.9259,1
1503.961,1446.473,1
1504.591,1561.3241,1
1505.06946,1435.954,1
1505.2157,1509.3252,1
1505.28223,1367.22351,1
1505.42285,1417.62317,1
1505.75439,1556.42688,1
1506.02039,1442.84583,1
1506.289,1480.15735,1
1506.55664,1458.39661,1
1506.62952,1562.484,1
1506.70142,1481.11218,1
1507.27869,1376.238,1
1507.2948,1564.37854,1
1507.5094,1581.17383,1
1507.5166,1570.11865,1
1507.53674,1478.0376,1
1507.85315,1488.97351,1
1507.90833,1528.73633,1
1507.91675,1450.95471,1
1508.09326,1478.12244,1
1508.17261,1478.83374,1
1508.59827,1502.72693,1
1508.61658,1513.06909,1
1509.009,1487.11426,1
1509.38293,1519.61926,1
1509.50952,1474.84729,1
1509.826,1481.167,1
1509.97937,1441.7417,1
1510.15723,1484.32715,1
1510.25354,1428.41748,1
1510.31189,1394.25,1
1510.88989,1393.25452,1
1510.93628,1475.0459,1
1511.076,1447.57751,1
1511.09729,1410.99512,1
1511.383,1627.19165,1
1511.56433,1429.68579,1
1511.7135,1491.008,1
1512.00769,1494.99854,1
1512.17615,1413.25647,1
1512.42664,1557.26941,1
1512.52942,1413.5802,1
1512.61731,1515.85693,1
1512.69043,1340.268,1
1512.767,1445.94727,1
1512.9967,1322.86035,1
1513.4447,1452.32458,1
1513.60254,1396.60852,1
1514.08093,1463.39673,1
1514.09607,1458.31067,1
1514.19055,1465.117,1
1514.35474,1278.79944,1
1514.71863,1571.32629,1
1514.72681,1527.30774,1
1514.94629,1410.90112,1
1515.02014,1717.90869,1
1515.02563,1511.24,1
1515.09424,1543.8717,1
1515.18933,1512.70435,1
1515.38025,1453.207,1
1515.4502,1459.48145,1
1515.99,1319.903,1
1516.06042,1172.938,1
1516.31372,1467.04016,1
1516.60669,1489.82849,1
1516.79651,1359.39966,1
1517.03442,1452.43164,1
1517.10107,1516.44421,1
1517.43787,1469.48352,1
1517.86572,1528.23352,1
1517.92822,1427.02515,1
1518.071,1514.88123,1
1518.41675,1464.68311,1
1518.453,1493.77283,1
