Ch1 Amplitude,Ch2 Amplitude,Cluster
1519.84387,1506.11353,1
1520.06213,1594.7865,1
1520.0625,1538.74829,1
1520.311,1567.79858,1
1520.68457,1482.9585,1
1520.6853,1575.13452,1
1520.86169,1515.124,1
1521.605,1425.27356,1
1521.76282,1395.83057,1
1522.23389,1522.82129,1
1523.30762,1389.957,1
1523.53162,1533.84485,1
1523.85767,1485.67822,1
1524.314,1423.46179,1
1524.54346,1494.96692,1
1524.61951,1597.89929,1
1524.88818,1535.90686,1
1525.14722,1389.156,1
1526.14429,1511.29053,1
1527.14185,1607.67969,1
1527.59717,1509.543,1
1528.48254,1578.58777,1
1528.75122,1471.97742,1
1529.52393,1462.04358,1
1530.27979,1486.17957,1
1530.36731,1513.02307,1
1530.55945,1553.34753,1
1530.88062,1559.211,1
1531.14539,1496.675,1
1531.61731,1563.30737,1
1531.65283,1558.81189,1
1531.65857,1490.99512,1
1531.72107,1561.78076,1
1532.01733,1576.07813,1
1532.52454,1614.805,1
1532.754,1509.57153,1
1533.29785,1444.67627,1
1533.58838,1479.18579,1
1533.58972,1450.51965,1
1533.99426,1576.84607,1
1534.54346,1454.20056,1
1535.49133,1409.178,1
1535.719,1410.921,1
1536.409,1509.98657,1
1536.45642,1544.93542,1
1536.9386,1504.69165,1
1536.9397,1456.86084,1
1537.87256,1445.33472,1
1537.946,1564.808,1
1537.9679,1511.23218,1
1538.34741,1533.944,1
1538.60571,1436.112,1
1538.702,1542.197,1
1539.15747,1576.90051,1
1539.87878,1447.20227,1
1540.222,1500.32361,1
1540.51941,1573.026,1
1540.6217,1434.43921,1
1540.74548,1471.536,1
1540.7865,1461.31543,1
1541.114,1523.8075,1
1541.34387,1472.82214,1
1541.7002,1449.32422,1
1541.89563,1463.99512,1
1542.03931,1448.39612,1
1542.074,1462.9043,1
1542.172,1607.05566,1
1542.36658,1515.09766,1
1543.00513,1491.00281,1
1543.384,1516.8783,1
1543.41772,1473.23108,1
1543.41785,1440.57166,1
1543.76782,1440.50439,1
1544.1416,1483.46082,1
1544.26611,1497.90674,1
1544.38074,1586.451,1
1544.80981,1580.473,1
1544.922,1470.741,1
1545.69263,1324.72485,1
1545.79773,1534.19824,1
1545.79993,1557.21387,1
1546.13855,1417.48608,1
1546.733,1490.2821,1
1547.3092,1524.92456,1
1547.99792,1509.38635,1
1548.1051,1486.48645,1
1548.1604,1531.90808,1
1548.68542,1465.8429,1
1548.90417,1542.4176,1
1549.01453,1616.90112,1
1549.0863,1485.16956,1
1549.1792,1570.59424,1
1549.30664,1580.69165,1
1549.38354,1467.074,1
1549.414,1449.35193,1
1549.78052,1540.57214,1
1550.10876,1614.256,1
1550.39526,1529.02075,1
1550.66016,1417.895,1
1550.837,1568.42322,1
1551.42053,1478.23254,1
1551.47388,1530.18652,1
1551.68384,1541.50269,1
1551.88611,1456.99341,1
1552.024,1544.41711,1
1552.22363,1461.36377,1
1552.47229,1509.174,1
1552.62915,1527.79944,1
1552.96045,1527.41589,1
1553.28455,1515.655,1
1553.3551,1566.12952,1
1553.48511,1560.05835,1
1553.63477,1456.0564,1
1553.866,1396.67712,1
1554.131,1450.01379,1
1554.4165,1548.845,1
1554.75427,1443.77185,1
1555.04919,2904.58521,4
1555.162,1543.801,1
1555.70862,1522.66,1
1555.83533,1595.91174,1
1556.07385,1452.13074,1
1556.18176,1461.91052,1
1556.492,1704.81787,1
1556.58826,1534.98291,1
1556.61462,1543.569,1
1556.867,1562.0791,1
1556.87854,1450.64722,1
1557.31958,1503.377,1
1557.39661,1572.43225,1
