# raw data points obtained from the ADCC experiments tx012-014 using isolated CD56+ cells from the PBMCs from 22 donors and testing the 6 trastuzumab (TRA) glycovariant antibodies. Data are EC50, top and bottom (upper and lower asymptotes resp.) extracted from the 4P fitting curves for each donor and antibody tested (E:T=5:1)
,donor,antibody,EC50,top,bottom
77,032,G0,-2.7181870746192884,25.617663049754906,1.7837475778461864
78,032,G2,-2.6686191040919596,27.200771604927112,0.7757409993490018
79,032,ST3,-2.5192975533927386,25.47617530722003,0.4402200600611993
80,032,ST6,-2.7991811863499088,24.110627579654874,0.15812039760668592
81,033,TRA,-3.569331745612941,57.94199199656857,5.085284562453897
82,033,deglyc,-1.054867842182776,26.896925140198544,3.572885632505977
83,033,G0,-3.4920179311248325,59.81729512294861,2.40880767229914
84,033,G2,-3.3844965798375246,58.69744767567769,1.1317732423313513
85,033,ST3,-3.0861476199763485,59.70657354234711,2.3502230317558093
86,033,ST6,-3.4524155925883204,58.80100237335994,1.5882499078143846
87,034,TRA,-3.612381037088273,66.77949395821295,12.586630651802224
88,034,deglyc,-0.9461022974938457,33.37330542178864,15.40154524329887
