Ch1 Amplitude,Ch2 Amplitude,Cluster
1581.27246,1540.756,1
1581.30225,1512.82166,1
1581.49158,1561.6427,1
1581.52649,1492.34741,1
1581.63354,1467.60242,1
1581.63489,1477.3739,1
1581.94543,1464.039,1
1581.99548,1471.83118,1
1582.13757,1494.97363,1
1582.28491,1405.74451,1
1582.29639,1422.53748,1
1582.37012,1589.12549,1
1582.44666,1493.99353,1
1582.612,1579.38586,1
1582.67651,1538.2417,1
1582.90491,1518.88892,1
1582.91077,1531.8512,1
1583.56445,1563.02954,1
1583.67566,1473.41138,1
1583.71411,1525.477,1
1583.76392,1544.21313,1
1583.9176,1527.24634,1
1583.92224,1540.87708,1
1583.97668,1306.82788,1
1583.997,1506.89368,1
1584.21118,1627.48254,1
1584.243,1510.30823,1
1584.31641,1473.14734,1
1584.33765,1427.08472,1
1584.48987,1419.147,1
1584.542,1447.93152,1
1584.59558,1513.81213,1
1584.609,1472.3429,1
1584.69067,1468.22522,1
1584.71655,1456.09167,1
1584.819,1502.64551,1
1584.82019,1469.09534,1
1585.01233,1467.24573,1
1585.042,1557.04993,1
1585.12683,1453.49683,1
1585.19775,1513.16736,1
1585.463,1384.4624,1
1585.50293,1607.621,1
1585.59509,1412.7251,1
1585.64551,1527.92358,1
1585.74512,1457.96387,1
1585.78613,1469.42346,1
1585.833,1499.97107,1
1585.97656,1453.56848,1
1586.02087,1426.06128,1
1586.03125,1482.12183,1
1586.20068,1538.75146,1
1586.23145,1371.29065,1
1586.41968,1509.77222,1
1586.51318,1403.71521,1
1586.527,1500.99866,1
1586.63647,1528.5144,1
1586.687,1539.443,1
1586.78052,1540.64136,1
1586.90356,1439.877,1
1586.98132,1555.71155,1
1587.0105,1612.50952,1
1587.06616,1449.95911,1
1587.1886,1481.658,1
1587.21545,1481.23071,1
1587.24622,1405.12256,1
1587.25049,1386.05811,1
1587.29883,1558.78357,1
1587.30994,1472.55627,1
1587.56445,1455.51038,1
1587.61865,1570.2196,1
1587.75671,1538.06848,1
1587.96069,1468.33325,1
1587.97314,1424.36328,1
1588.07568,1550.43616,1
1588.18347,1455.41431,1
1588.40845,1503.89063,1
1588.40979,1448.10791,1
1588.6,1514.01208,1
1588.74646,1530.10718,1
1588.76721,1515.74963,1
1588.89246,1419.82727,1
1588.89746,1469.0874,1
1588.8999,1452.73071,1
1589.15845,1446.29041,1
1589.29675,1494.69568,1
1589.30762,1377.45508,1
1589.32593,1479.67883,1
1589.34668,1526.267,1
1589.397,1444.91956,1
1589.47522,1452.83411,1
1589.56152,1465.27246,1
1589.69788,1503.32678,1
1589.70081,1527.70007,1
1589.83679,1553.86938,1
1589.89331,1470.26721,1
1589.92126,1427.974,1
1589.95837,1588.33447,1
1590.06,1446.59827,1
1590.23376,1423.97839,1
1590.23474,1480.777,1
1590.2937,1558.8446,1
1590.33594,1492.51331,1
1590.39612,1554.62781,1
1590.403,1448.57886,1
1590.474,1491.01538,1
1590.47693,1395.95691,1
1590.48975,1529.42932,1
1590.61536,1531.558,1
1590.72571,1466.5321,1
1590.83,1530.77844,1
1590.92615,1469.97388,1
1591.27881,1490.72375,1
1591.3645,1558.4646,1
1591.51221,1539.59851,1
1591.64343,1601.06262,1
1591.82788,1449.989,1
1591.84753,1426.85413,1
1591.90161,1497.30212,1
1591.92981,1485.27539,1
1592.0415,1436.63635,1
1592.0564,1560.46533,1
1592.05737,1529.48035,1
1592.10291,1541.1333,1
1592.18628,1494.24768,1
1592.287,1485.98669,1
1592.32117,1383.18567,1
1592.39441,1406.93384,1
1592.42834,1467.96558,1
1592.59351,1629.15369,1
1592.5957,1510.91187,1
1592.83716,1565.15283,1
1592.84753,1465.16931,1
1593.15588,1444.6698,1
1593.23547,1581.23,1
1593.25732,1505.12622,1
1593.25964,1464.95532,1
1593.29065,1477.33826,1
1593.36023,1464.33264,1
1593.42664,1603.30176,1
1593.57178,1461.35229,1
1593.77686,1521.2312,1
1593.84424,1406.97388,1
1593.85071,1503.27112,1
1593.85376,1544.8988,1
1593.91516,1489.10767,1
1593.92834,1471.90247,1
1593.94885,1389.02246,1
1593.96643,1497.115,1
1593.98438,1480.11035,1
1593.99158,1467.7478,1
1594.15015,1405.06177,1
1594.25732,1504.41748,1
1594.27686,1497.61108,1
1594.28052,1461.26245,1
1594.33057,1483.478,1
1594.36328,1578.76343,1
